信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,情绪|非银情绪_得分,情绪|非银情绪变化_得分
2022-07-18,2022-07-19,1.0,看多,0.0013966302936017083,0.00028302881066633034,0.001113601482935378,0.0001220873015873,0.0012745429920143,1.5000000000010143,0.1999999999999918,1.3000000000010226,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-07-19,2022-07-20,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-07-20,2022-07-21,1.0,看多,0.0017452117721283855,0.0013955528424469676,0.0003496589296814179,0.0001218968253968,0.0016233149467316,1.910000000000002,1.4899999999999982,0.4200000000000037,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-07-21,2022-07-22,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-07-22,2022-07-25,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-07-25,2022-07-26,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-07-26,2022-07-27,1.0,看多,0.0010571578609657184,0.0008867278828665892,0.0001704299780991292,0.0001200793650793,0.0009370784958863,1.09999999999999,0.899999999999998,0.19999999999999207,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-07-27,2022-07-28,1.0,看多,0.0004264952148334,0.00010128942577969369,0.00032520578905370634,0.0001196428571428,0.0003068523576906,0.3600000000000131,-0.0099999999990038,0.3699999999990169,是,其他,是,否,有效进攻,0.0,100.0
2022-07-28,2022-07-29,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-07-29,2022-08-01,1.0,看多,0.0007845057854494186,0.002611640517714786,-0.0018271347322653675,0.0001197539682539,0.0006647518171955,0.7799999999990106,2.900000000000992,-2.1200000000019816,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-08-01,2022-08-02,1.0,看多,0.00041784923603915836,0.002424192202133524,-0.0020063429660943655,0.0001194444444444,0.0002984047915946,0.3500000000009745,2.6799999999990027,-2.3299999999980283,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-08-02,2022-08-03,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-08-03,2022-08-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-08-04,2022-08-05,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-08-05,2022-08-08,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-08-08,2022-08-09,1.0,看多,0.00019477882165297444,-0.0004968175809557662,0.0006915964026087407,0.0001178928571428,7.688596451017397e-05,0.0899999999999859,-0.7000000000000062,0.789999999999992,是,其他,否,否,其他,0.0,100.0
