signal_date,总分_raw,总分,仓位,结论,情绪|非银情绪_得分,情绪|非银情绪_乘数,情绪|非银情绪变化_得分,情绪|非银情绪变化_乘数,supply_observed_at,bank_observed_at,valuation_observed_at,sentiment_observed_at,supply_amount_raw,supply_ratio_raw,supply_long_raw,bank_demand_raw,spread_gov_raw,nonbank_sentiment_raw,spread_ncd_raw,spread_change_raw,supply_amount_change_raw,bank_demand_change_raw,nonbank_sentiment_change_raw,spread_ncd_change_raw,spread_change_acceleration_raw
2022-11-29,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-11-28,2022-11-28,2022-11-28,2022-11-28,359.0788000000001,0.2134859250306839,25.43999999999955,5.649999999999998,12.43000000000003,-0.1123379999999999,54.43000000000002,-5.929999999999948,-126.91629999999986,7.29,-0.0757519999999999,0.2300000000000395,-1.929999999999944
2022-11-30,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-11-29,2022-11-29,2022-11-29,2022-11-29,286.6157000000001,0.1780757404230351,6.299999999999545,8.559999999999997,12.72000000000002,0.098373,50.72000000000001,-5.689999999999973,-72.4631,2.9099999999999997,0.2107109999999999,-3.710000000000008,0.2399999999999753
2022-12-01,0.0,0.0,0.0,看空,0.0,1.0,0.0,0.0,2022-11-30,2022-11-30,2022-11-30,2022-11-30,272.9157000000001,0.1254199131008107,0.0,4.989999999999998,13.670000000000028,0.071357,55.12999999999999,-5.220000000000002,-13.700000000000044,-3.5699999999999985,-0.027016,4.409999999999975,0.4699999999999704
2022-12-02,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-12-01,2022-12-01,2022-12-01,2022-12-01,375.6,0.1648308245929695,0.0,-4.260000000000002,16.420000000000012,-0.1926589999999999,53.41999999999998,-1.100000000000012,102.68429999999996,-9.25,-0.2640159999999999,-1.710000000000008,4.11999999999999
2022-12-05,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-12-04,2022-12-02,2022-12-02,2022-12-02,375.6000000000001,0.1484878434473215,0.0,-16.090000000000003,14.860000000000008,-0.201976,51.62,0.3300000000000302,5.684341886080803e-14,-11.830000000000002,-0.009317,-1.799999999999983,1.4300000000000423
2022-12-06,100.0,100.0,1.0,看多,0.0,0.0,100.0,1.0,2022-12-05,2022-12-05,2022-12-05,2022-12-05,508.4235,0.0500302416076402,0.0,-22.65,13.439999999999984,-0.1766529999999999,52.46,1.0099999999999554,132.8234999999999,-6.559999999999995,0.025323,0.8400000000000034,0.6799999999999251
2022-12-07,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-12-06,2022-12-06,2022-12-06,2022-12-06,508.4235,0.0500302416076402,0.0,-30.87,12.060000000000004,-0.4167329999999999,50.58000000000003,-0.6600000000000161,0.0,-8.220000000000002,-0.24008,-1.879999999999974,-1.6699999999999715
2022-12-08,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-12-07,2022-12-07,2022-12-07,2022-12-07,508.4235,0.0481150745065439,0.0,-36.43000000000001,16.75,-0.840732,44.77000000000002,3.079999999999973,0.0,-5.560000000000006,-0.4239990000000001,-5.810000000000009,3.739999999999989
2022-12-09,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-12-08,2022-12-08,2022-12-08,2022-12-08,168.1235,0.0164399465761751,0.0,-18.630000000000003,13.39999999999999,-0.902161,42.40999999999997,-3.0200000000000227,-340.29999999999995,17.800000000000004,-0.0614289999999999,-2.360000000000049,-6.099999999999996
2022-12-12,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-12-11,2022-12-09,2022-12-09,2022-12-09,168.1235,0.0168561363425702,0.0,-25.230000000000004,14.579999999999991,-0.932368,41.10999999999998,-0.2800000000000135,0.0,-6.600000000000001,-0.0302069999999999,-1.29999999999999,2.740000000000009
